Accession,C_OEI06441,C_OEI06445,C_OEI06449,C_OEI06455,C_OEI06461,C_OEI06465,C_OEI06469,C_OEI06473,C_OEI06477,C_OEI06483,C_OEI06487,C_OEI06491,C_OEI06495,C_OEI06499,C_OEI06506,C_OEI06510,C_OEI06520,C_OEI06526,C_OEI06530,HCC_OEI06439,HCC_OEI06443,HCC_OEI06447,HCC_OEI06453,HCC_OEI06459,HCC_OEI06463,HCC_OEI06467,HCC_OEI06471,HCC_OEI06475,HCC_OEI06481,HCC_OEI06485,HCC_OEI06489,HCC_OEI06493,HCC_OEI06497,HCC_OEI06504,HCC_OEI06508,HCC_OEI06518,HCC_OEI06522,HCC_OEI06528
Q92604,1024.115845,5159.870477,4571.421044,665.4871051,1291.384943,412.0975398,664.6034562,1012.404205,1065.898963,15374.75557,11699.74437,6111.778367,2130.762388,2768.436687,2593.917728,4100.17464,10547.36731,3991.171363,1563.470405,17168.16234,11963.45516,296321.1831,34148.84984,4632.881623,4295.540732,9952.66559,12526.06285,27246.73691,26710.85166,20319.04702,2872.355035,8344.261444,18933.2415,26990.85941,2518.161157,18152.98044,6068.89374,3009.640717
Q02338,1840313.866,1801070.093,905389.3835,252248.6378,744249.7219,879479.7474,1137398.8,1358763.152,994688.4888,1716412.455,970245.7783,1313978.786,1292290.147,1165061.776,492236.2227,1568905.707,1093074.555,721180.7662,768581.719,333105.6678,1151448.319,434520.9169,1100554.517,669071.7096,336370.3593,155377.6237,646953.0553,716054.0925,100319.8052,702519.6674,742930.9454,268335.1561,914278.2103,183531.878,407214.3458,153176.8571,510802.4675,100584.7327
P51153,4970.106005,10438.49186,4946.572994,3453.060741,3907.451711,2869.154552,4189.172036,4336.109493,1109.152178,16419.53501,7519.204333,6234.00454,8351.205051,8197.701112,2808.045793,11729.32716,9251.971197,5041.247162,7785.912604,21411.03937,24168.29462,43080.14144,28554.85911,10849.03776,10019.97684,17087.53099,7937.419621,11483.08686,16774.90838,9588.32939,7418.379751,16904.13408,14800.25138,10043.43099,7785.449522,7744.393525,11186.65655,18955.38115
Q9BZZ5,8795.282984,11604.01157,4880.766646,1491.100457,2485.473327,6978.325691,4522.837033,8007.857579,4256.565212,21021.91008,11150.33857,10640.74902,9556.682871,13645.0979,3076.297653,11354.51464,13349.45196,5302.08372,4588.510536,13183.22192,15322.04791,120196.4052,54429.94943,13049.35566,6522.007349,19720.18516,16879.89735,14774.17642,22171.97895,32337.615,12637.70557,22350.96411,19520.11253,9114.144209,4639.436912,7965.440288,14052.39966,8546.851595
Q16881,36035.68165,43534.53087,20459.88452,12848.86816,26594.05989,23298.94093,33745.40355,34148.80361,28017.56605,138105.5849,36442.85215,44230.87649,50994.9824,105134.5798,27606.08448,48881.58218,56377.55557,24986.56304,33654.82064,83134.42078,132947.9607,192853.6854,222517.2638,81719.13795,90814.96542,403118.8224,58934.10319,173642.0123,74956.79706,173615.3776,60140.29985,146016.2198,403736.2496,49393.59524,374119.7253,84518.60141,51872.70381,65378.74307
P22033,886681.0337,1156791.764,540674.1797,199203.0193,535134.8624,408254.5784,721264.7176,643454.2908,444582.0092,1595868.702,710498.9132,975405.2105,866357.6545,901822.6089,345463.8591,996499.248,900749.3395,407489.9209,994822.5684,804271.9576,704951.4232,1042986.808,747051.8532,395290.5531,362364.393,266049.3067,487288.4956,234798.2852,137234.5715,836024.5015,823380.5755,247255.3261,639979.702,202371.976,139289.5444,220137.9969,293190.9456,188895.6857
Q8TD30,39006.43296,41424.964,10407.44619,2411.067591,12819.12846,26203.36568,21952.15076,16911.24329,18057.30071,33115.41607,11474.96421,26628.9451,26760.01426,30277.37708,20736.5558,12812.19431,12066.45691,7267.017325,18871.01262,5203.213701,21304.19142,101.2312716,3266.166169,3784.228764,15731.53548,1982.590624,6444.565209,3381.663623,1698.982529,5384.831509,4066.781575,3987.908058,17234.26054,564.3365238,1412.463496,1006.680283,246.414719,423.0280937
P05198,147278.1863,98159.02227,40913.89395,35554.18179,70402.0887,117992.8102,87140.08757,134570.892,59914.20363,216422.7125,95738.15497,90026.98821,109198.4214,140784.0539,46000.50768,97098.24224,92420.66684,65861.2369,104838.7635,226573.255,236033.4194,319143.7304,279651.4824,141475.6267,123069.764,164747.0105,172712.0936,124297.0249,150172.0778,200874.1098,143807.8512,129259.3978,185513.5218,119750.4728,42462.83403,74817.86752,107517.5549,190808.3046
P30046,727021.0792,440609.998,477379.9252,203724.1285,372883.6334,1302722.483,206967.4188,493640.5889,1276563.357,1081166.842,515754.9486,612910.5871,939530.3289,452976.6509,264977.0932,1468802.427,654837.3986,164907.4586,895804.7573,264419.2373,239607.5965,1991357.949,772487.9058,264877.2242,269084.8339,190043.3552,236562.1559,472889.5914,224540.6691,943998.0055,233450.9596,395897.5407,367926.7799,209179.4405,109932.3804,175398.0016,165925.3821,148057.1233
Q9BT78,13460.99541,14752.11485,6335.994504,4432.604306,5469.057149,16417.1134,12028.08552,20746.30588,16694.20184,43984.02639,13118.41219,21177.94687,24984.96341,23666.75876,7835.008849,16687.66806,16703.33619,5574.773796,14222.16513,38295.21658,26339.59512,55104.62939,77181.25964,20475.93111,22153.69427,41059.4057,17612.03642,20760.407,32969.69866,22985.00664,18528.02934,38269.82998,28705.46956,21488.87049,5165.637352,16704.24845,18522.34091,45317.17249
O00468,395.2386813,2444.155978,221.4751244,841.7747386,200.752439,124.2005379,758.3834587,972.5410441,218.2109958,264.6968193,625.1293559,679.5780996,625.4630268,1426.557963,172.5773176,1629.384901,2372.243304,2134.207911,1351.651213,24750.79732,21344.75616,57781.37959,42064.20626,17813.86787,23265.72763,1186.869041,3977.71415,1790.413858,41901.71025,2774.808512,9731.541312,34397.61194,545.0549408,1464.451926,4263.851068,11771.27349,12488.47412,4839.150131
P12956,328183.8491,302379.9723,130363.9645,95898.42296,149792.4224,197088.4269,220815.1854,325435.2417,147301.0979,461593.6159,212313.7497,164749.5046,270752.6752,382490.4049,107906.3413,278461.1244,215552.1012,123493.885,233192.1386,1091539.242,520925.3681,1849149.476,807217.489,322657.8052,252957.1755,540519.4337,233795.8225,273153.8989,695419.956,614994.2778,409340.925,434948.2093,384549.0669,349910.3046,198951.2056,397362.0346,433371.9352,548427.2185
Q9UNF1,363.7808206,440.1918488,85.02096627,457.0102016,544.2771291,340.4677391,591.9377633,0,691.735733,1359.160944,2386.608582,25.38083815,868.9263763,2696.944214,35.31081344,296.3921214,121.2658414,339.6933289,115.9790044,12928.6482,9249.920971,31074.15874,12304.513,550.2206608,1043.604606,10757.62645,3187.270429,4019.575111,43436.09241,22912.98698,3966.269678,10707.69346,3331.488732,4513.677945,2941.886505,4937.520072,4476.180419,50426.98878
P11226,89450.93027,29234.36542,4718.911169,9045.517896,17693.71669,93123.05309,46927.66552,104254.9178,19804.81756,32835.14394,7870.924046,52420.49134,52793.48778,22583.30019,30980.17858,15776.2701,14196.28512,28082.20182,79545.68936,5715.778352,9470.466398,28340.87303,10627.22499,3435.948688,2852.291078,2005.083448,4821.899294,24087.5784,5468.973385,4157.528304,9103.370825,3888.366444,11208.13306,1889.270931,5395.040222,2306.766437,7066.3936,3963.200799
Q12874,34373.32104,14485.7723,6469.181546,6549.589245,8851.522853,12134.00847,12472.31385,33692.94529,7419.170482,33654.9807,15482.22865,7857.689746,16724.82068,32992.23076,4871.073981,15605.36687,9835.554954,7433.501946,18949.13698,74961.29964,42861.09856,164295.1285,67714.2578,12694.55019,21799.95829,52095.33522,22978.17482,24409.75505,78089.8557,84727.85071,35040.8045,47898.25052,30128.8297,26840.95787,13976.77135,26571.42954,23906.10144,29468.5341
P12694,404867.3576,333073.3293,170730.9908,62091.33913,215660.2038,323398.1528,180997.4438,407499.5498,262187.5541,597738.6378,216997.576,391001.1925,336419.4389,282860.5132,105749.8688,485565.8746,340560.871,174439.4142,339959.164,211837.0026,442579.8916,386484.8775,441433.9834,224352.3796,266309.8735,110076.5086,103401.9157,80971.77408,62171.69142,305559.6339,118217.7368,125273.5918,315189.3182,39210.81134,78918.3151,68320.27352,170512.1254,153256.1903
P41250,75012.40286,103755.3892,34308.96621,28691.16889,40016.1988,54006.2658,71863.64459,119388.3531,65623.343,249456.7526,65512.49672,124008.7742,108133.2861,141956.0185,45279.17285,107444.1324,128095.698,59244.85063,64819.37262,142553.6564,191856.1733,1024868.62,464368.8274,114831.3703,114158.9949,231008.6625,249154.999,266729.5309,202064.3037,98476.41683,164232.6878,219658.4315,134685.2627,175359.5774,52555.55795,77378.20458,113779.4547,216501.786
P13716,698754.165,617653.6228,251794.4765,118025.2511,330586.185,414764.1673,425499.5834,458542.6748,401364.4294,672788.4495,302571.5876,485105.9786,406370.194,457610.3394,278405.8715,723983.4322,368145.6729,167589.6282,274658.2121,152586.1042,485221.8354,424500.7758,1155682.963,376941.6821,151406.3118,289667.4827,144278.0181,134791.8476,81776.43243,386001.902,165418.6366,372937.0023,251708.3321,113900.2426,103572.6808,148429.522,225905.9963,144024.9043
Q15631,17480.37777,31661.7255,12187.01707,9058.126178,3047.671069,12829.0677,19655.80569,14043.00481,11851.5517,63173.7364,20457.28051,22798.8163,22000.80234,33834.64234,15801.59318,21604.56158,30096.08065,10663.56106,19560.4535,127141.377,39530.49742,525663.3479,172123.6175,29123.48884,46625.47655,116164.4422,17993.226,34500.72636,38170.87918,112260.6458,34370.70179,129473.6154,17571.53196,29204.20465,18978.14878,37981.88028,27553.33414,74472.40483
Q15477,2216.140088,1694.936195,684.6835061,879.990964,914.8651603,1567.608389,758.2585446,1554.927027,799.7096656,3325.292806,1352.54342,1057.965012,212.181366,2744.79278,846.2534359,1707.617945,574.4595522,1325.872759,2421.7004,2233.048363,5973.990085,8096.488568,7832.261964,2968.346767,2752.233747,2853.862587,4554.183416,1340.483987,5899.274943,4249.352753,3244.113652,971.9423657,2603.945114,2925.774852,977.1356978,2632.296266,2918.158623,3008.510302
O94903,55398.31392,45173.39113,18579.58897,7920.924998,24396.39202,31975.3855,20233.48916,56333.7995,39133.05361,66968.15222,25257.11684,38820.26886,36734.73969,41917.13126,20274.0407,60897.01355,39496.95463,20713.61152,44524.45107,27544.54943,13911.76585,33319.95162,120133.0781,15994.15991,24081.19504,17896.01652,20501.97265,9191.613381,4090.757723,9521.626796,7782.818056,15466.54914,36730.5128,5772.032018,10511.83841,15693.59383,16729.43167,19462.40206
Q9Y2W1,1949.99924,13009.12757,4309.130811,4273.805578,1400.282244,1292.622752,5848.307038,907.1748883,933.3327949,19491.273,5970.051418,4674.667868,5010.720158,12030.57532,4565.591895,2158.941521,3256.08439,4480.514808,8179.303652,55081.27383,31631.84874,140801.7439,31302.16278,9140.08202,6262.667884,23003.66774,14051.55246,11801.49017,26620.49085,22479.32898,11482.57206,4904.434837,13135.70899,15711.43156,6169.127024,8987.258326,16056.47978,13343.14034
O00291,0.731009594,0,86.70253068,0,0,0,39.90425306,1.242774861,0.029766796,0,457.0757388,359.2949006,0.146476757,1324.288071,0,0.530477022,503.0639343,328.8463439,715.2196817,6994.03467,423.2236132,17218.7605,2792.52301,900.1157684,0,432.2418213,892.1504564,1212.208097,5366.772028,1651.090762,316.3153687,2444.612488,2626.908636,238.1143646,797.0276821,2968.88501,3155.191637,2952.603156
