Accession,C_OEI06441,C_OEI06445,C_OEI06449,C_OEI06455,C_OEI06461,C_OEI06465,C_OEI06469,C_OEI06473,C_OEI06477,C_OEI06483,C_OEI06487,C_OEI06491,C_OEI06495,C_OEI06499,C_OEI06506,C_OEI06510,C_OEI06520,C_OEI06526,C_OEI06530,HCC_OEI06439,HCC_OEI06443,HCC_OEI06447,HCC_OEI06453,HCC_OEI06459,HCC_OEI06463,HCC_OEI06467,HCC_OEI06471,HCC_OEI06475,HCC_OEI06481,HCC_OEI06485,HCC_OEI06489,HCC_OEI06493,HCC_OEI06497,HCC_OEI06504,HCC_OEI06508,HCC_OEI06518,HCC_OEI06522,HCC_OEI06528
Q9UJ68,117810.5605,77833.54179,32598.62732,16818.61186,73809.06284,97978.63164,55842.79666,81726.34109,80584.73109,101715.5623,47140.92174,77617.69957,63512.90925,72677.16185,37371.97027,67624.38424,71820.21442,35475.56694,48340.96481,10175.51679,43708.95736,25330.13762,37673.23586,8036.619156,17136.74183,14042.96136,29390.52854,14447.07886,12196.36577,8236.107729,12787.38026,5361.926515,37661.79426,10488.33878,4250.9181,6314.326772,11927.32169,16483.64523
Q07955,109824.5411,116484.2174,35500.8331,30127.41758,32810.13336,98375.42246,99965.98422,99282.0737,56106.09972,223941.8465,87026.49809,112741.9617,80912.206,137961.2208,48729.59456,76592.5427,77504.57617,56485.46031,90357.92625,305888.3971,286183.616,821989.8428,581819.1334,125362.9434,109434.8456,284070.9015,196011.9878,181745.5463,277430.3849,428905.4834,188598.4351,155213.5438,185761.1964,124933.9578,67315.51786,164617.2618,155795.3705,178192.2313
Q14657,7514.242919,4821.201337,1241.200395,1149.901192,3078.608139,4103.008627,3582.924963,6642.039861,4275.014959,15723.64838,3695.410269,4326.064406,4942.65603,7120.834096,2334.018398,7247.829447,5193.637913,2852.512979,5076.015289,14390.12362,19306.61481,15803.22697,21804.77794,12426.54825,8360.298807,6693.617579,9169.783773,9801.542874,5537.176205,14772.68774,6491.225668,9310.665129,13270.09253,5878.758812,2676.534481,5528.013794,10256.7283,6738.861971
P84103,93538.5466,91822.26667,36728.47529,30512.23573,26892.13002,60663.45543,60703.35451,67969.29156,38432.86587,167858.4489,67188.78986,59744.78962,51027.30421,72158.20124,30016.86289,56728.22341,72763.82126,50993.49148,72873.17173,300332.126,202384.8969,758667.8221,406903.7795,119731.1033,100874.2637,186505.5843,126783.8451,112852.4837,373457.1183,279792.4974,123184.1952,113099.3391,133535.2585,97554.76019,55527.19148,116725.0956,119773.9376,112601.9266
P16219,1556031.504,1625864.705,656879.6455,150838.6529,1245612.255,1402355.142,908176.5822,1942602.698,1119227.18,3089508.595,921497.2471,1498700.896,1137201.561,1114223.274,276538.8671,677574.3523,1498961.765,822009.4395,1163414.838,365439.7209,732789.2841,588652.1117,815672.8838,587805.6145,453084.8531,438740.399,210201.6056,234265.7042,125333.0704,365289.2993,189380.5473,441607.5857,398924.8578,106856.4652,189550.1821,336790.6877,437746.0309,181086.6032
P30039,1212942.272,1602214.809,965062.103,233098.3631,992804.8068,1416392.271,1029979.721,1798333.233,1154377.098,3232203.689,1213245.377,1453999.819,1255195.963,1053878.56,701349.9569,2164653.233,1076143.503,513140.1428,892666.5383,141437.4561,960974.5292,594612.2877,856989.2918,388466.7367,386249.875,330981.499,589998.3525,385835.169,167953.7852,291410.765,146004.6714,870522.6997,578636.9769,92580.73229,196721.0255,152095.6748,381135.968,127327.369
P53396,63180.32794,89486.16231,30093.46326,38868.49389,28504.93657,36621.78705,45154.79572,59549.82191,38978.16496,224700.0534,76343.49949,107546.2575,70969.61069,169453.5497,39222.06469,104136.0498,87760.19588,41937.10678,92266.21873,231118.1435,180696.7463,734069.8245,372774.404,340075.014,79982.48928,157231.6329,133059.6736,121122.4169,200752.5993,246622.1982,200857.0388,218052.3179,232005.5482,122300.2569,107700.6564,174874.3424,222897.6,247161.4638
Q15029,24291.32094,58254.9124,17959.82333,12444.05505,14005.634,20863.45644,29776.41386,26880.04283,14026.88649,106096.3889,45845.64272,40939.08052,49121.88757,74875.8573,23514.52389,37673.82174,38160.20799,24083.78547,40033.3469,146785.0061,86091.21686,571555.1987,246975.1588,69645.98148,48866.11337,154038.0704,66183.13999,81493.85236,142877.8393,252836.4421,79380.49426,99010.31741,94149.21531,53897.21383,46488.02388,66971.44528,77041.3371,93371.62944
Q9NX24,5477.452537,7682.36363,1728.284484,1178.436828,3653.132729,1158.384778,3133.82755,5429.950705,2764.700953,4091.892667,4240.877046,4369.28809,4466.34649,4253.730415,1764.025832,6735.520266,3212.142634,2810.253101,3855.044176,22405.52644,31340.73071,11249.03588,36178.86946,43521.81847,6922.614965,10200.2619,13543.49269,9829.670512,7869.088394,6930.173247,12468.82605,12471.37459,8888.092108,7478.381171,5999.485947,7274.278113,6220.535108,8858.017727
O00757,296685.0954,419059.4699,297211.5695,202600.1283,388666.3678,203788.5286,237834.3195,293164.9607,395090.2011,377334.4341,177845.9364,315847.9102,126944.7662,197180.453,157889.2318,488655.3669,243151.1455,193731.0492,268781.4934,80666.76755,44003.19321,166488.3145,107866.9977,91796.74974,72671.40398,19904.35539,72883.05949,79526.49616,22317.65335,45709.0043,143564.0881,18689.44438,192684.0176,26762.18017,13153.66668,53666.32439,66326.61106,42740.55796
Q15020,3915.918689,10800.23096,3766.90357,2087.038634,2223.349954,2701.969004,3426.631801,8314.106316,2230.784449,16522.7005,5925.62508,6856.758448,6280.076955,17504.94775,2820.387201,5673.846708,9575.967668,4067.552964,6902.417746,48593.64041,17219.0993,185769.3809,63412.33842,16769.83412,10677.07359,27050.99223,15322.22444,11923.61822,43474.82572,55379.2077,16355.03816,12234.8975,21473.78743,12479.00341,12487.68617,14978.07087,21571.34106,28694.68189
P13010,312382.3817,442698.4059,162404.7311,99617.36631,187615.1257,248038.4616,348212.0148,406885.7483,200788.8563,1059245.674,429392.8232,420460.513,448475.3313,795417.4578,203408.2968,445382.3516,453597.7705,211364.8821,369491.0169,1035634.331,765825.9276,3166176.975,1756709.781,590271.3119,380978.4739,1079057.794,416512.1504,571213.5371,1222336.457,1597739.918,809996.2314,866737.7445,802831.4423,482062.0807,342313.4367,563834.3378,742295.7811,502540.2202
Q16543,88714.55483,83400.1852,38838.15382,31583.89968,44449.14447,55159.92509,58338.27816,72005.45155,46195.26606,164456.9206,70177.62955,69258.40505,74447.59931,103580.2877,34941.37473,74199.24036,52735.22327,40022.35106,55650.59126,217910.0482,144699.4526,416164.5064,277519.8034,107326.9471,85071.03767,128006.1783,113670.2005,84259.91546,93846.62043,215123.3919,102082.9406,122825.8806,120837.825,80679.86986,33392.83455,87527.36696,82673.6775,110989.1414
P09467,4448847.059,5244925.286,2279857.929,2307052.436,3523074.421,2968667.538,3059679.923,4841595.372,7024184.119,6467394.193,2307203.907,5304801.236,3283031.588,3486651.822,2191127.891,7382556.006,3533960.328,2732630.939,3395863.51,738519.8882,695871.5165,2747792.014,1896429.771,1881112.341,803692.0244,174924.9358,1196677.905,1153312.587,528371.1443,656783.603,2083702.641,286827.0345,3101548.116,258179.4828,111689.4891,649804.7128,835706.9341,153173.8674
O95954,2551586.111,3865283.429,2111913.322,732495.0289,2326963.02,2494872.931,2263077.858,3112714.201,2717422.58,8122870.067,2763181.957,4948755.246,2838318.247,3151033.27,2255185.866,5208249.068,3032790.347,1311705.205,2105645.673,715459.4483,911128.7742,1835708.757,3657334.777,1839363.918,717585.454,334743.1017,1484742.604,722608.62,272141.5901,341360.7369,361102.5874,439731.2836,2325474.485,381157.6536,74322.4421,412018.405,633804.913,218180.981
O43776,52519.45689,84192.11236,28458.27873,24037.29509,23612.18599,30572.58084,45850.00014,47451.7899,33848.58308,153277.6737,51876.7739,73361.28294,68692.35858,129621.8373,41992.41292,55236.14492,73902.4771,36622.83883,71870.8072,362518.4736,253536.8943,546358.5199,439230.6798,56346.07374,161601.5739,279485.4457,177741.3595,111219.3915,303302.8085,305678.2926,181671.1498,197741.4479,135542.0235,113507.1654,94950.41449,89887.20103,75152.50693,354692.3405
Q6IB77,1281958.098,1076117.64,573733.6597,191607.0521,870101.2601,946543.0216,1115550.875,1043902.65,688458.4954,1861823.618,556947.1876,1123447.484,1055360.101,783550.5099,504881.4533,1526197.537,883390.575,619320.2401,797255.6153,252535.4403,2012331.201,310905.4471,652093.4615,554343.2484,192589.1882,293125.5595,329134.0771,204226.3964,148580.1045,237853.9588,186274.7615,364820.9437,574268.8347,126792.7481,184892.4162,128332.1939,276188.6042,146358.9056
P07942,4554.771004,11520.81438,1257.023295,2186.12784,4085.292018,4386.830015,4936.598825,3863.745974,4743.872517,15868.87882,5660.924459,7367.106722,7090.962142,17117.49868,2090.611563,7787.296905,10504.46621,3192.86623,7863.326785,103862.3457,75882.42958,246317.9617,43523.11306,27328.65526,71732.86145,21146.1248,23625.8664,10526.04034,195757.6178,20326.54192,45423.20276,102367.4713,34927.4907,10126.09692,14818.66305,68666.114,16870.59779,95035.705
Q7Z6Z7,13264.65902,27026.82197,14948.55617,7254.929755,5919.762567,11633.4673,17887.39508,23516.25923,5844.629334,61244.20318,25321.50385,25469.14612,17502.65519,31783.51882,10982.20327,16847.34058,17251.00037,10510.44897,19160.38687,42424.32708,39582.95998,163322.7105,109320.3433,27458.44136,30611.11801,85078.68459,46460.02452,29481.03539,42320.33072,104136.2151,40200.57474,32405.60029,38163.88666,25292.10289,13415.66931,21668.30194,22939.41221,71841.76148
P98160,90027.74466,245423.0268,69627.57016,66365.97245,29625.72198,37063.98809,169660.9947,47738.48579,21569.79652,185419.4966,137816.3328,93394.08258,76777.20038,202859.0798,35272.3251,104877.0865,169146.9938,105635.8116,114647.7394,572358.0768,643159.6654,2494585.069,1097302.663,565232.3941,380371.4378,260876.9331,223595.0616,173254.3675,846790.1723,359502.6108,208341.958,404837.6295,306577.9855,201344.174,159481.9342,656189.4576,484372.7516,400699.8251
Q5VW32,3707.76763,5978.563007,2603.900643,1936.599086,1618.17832,1086.964703,3036.617963,2684.428806,741.5349473,7843.160561,3724.557724,2682.468676,4465.708266,6580.877823,2892.060957,5666.941423,4759.26003,2029.483063,3656.28661,14046.84375,10801.30921,104501.5612,97951.18035,5407.185926,5509.509606,16544.30437,5896.978028,8383.653252,18954.71703,44338.71842,1927.290458,12737.718,16121.77772,7574.537391,4365.242179,13219.86963,13148.92707,7019.993451
Q96GK7,167587.2873,128401.3216,50836.16995,24279.68738,28835.21705,142105.7515,83984.57801,142038.1026,53483.33849,157169.732,76013.74163,86857.83667,95131.57968,107820.3827,41236.51969,44749.83016,60321.13557,44467.72235,107735.0997,39031.88418,71195.66036,24115.78724,18100.20265,13270.97179,44452.18316,25940.13048,14220.99036,14767.47938,5175.714268,19088.31651,10470.71408,32538.43295,62706.01968,7762.669863,8460.42996,6897.755378,47967.78244,51439.34492
Q9BUJ2,18481.9757,19641.32937,8726.322736,6263.886016,8060.536358,15989.81642,17679.09562,19596.21656,13969.40876,47801.03835,12966.97771,13928.66489,18702.92765,32632.18096,10082.56806,34260.58649,23659.32313,9897.471788,17962.78901,78612.52763,43347.94828,218622.0713,145505.9389,26060.61935,19761.91537,54259.21519,22548.95413,30631.67085,45664.73679,71378.25048,25016.42631,35191.71512,37059.90827,29135.9431,13844.92264,34948.632,31753.01296,26526.64988
P55265,11523.37261,14112.06556,7313.947086,10717.11761,5534.088018,9670.328252,9812.71997,8658.790013,3316.273389,39264.81738,10562.17303,9169.14455,15933.89699,12260.66776,6441.056912,15443.76,8804.684941,6797.289009,17837.3034,47781.64151,28580.13452,334215.0072,136845.3359,34806.39385,16083.7683,110538.1321,22763.38566,19819.65404,105515.9363,87787.86562,23557.25896,31746.99301,24434.11489,30969.70331,10916.60587,21721.31123,24549.11556,24778.92524
P00918,3349709.777,2182135.02,1556381.952,416052.3484,2175057.904,3844871.859,1575349.106,2787049.629,2930431.723,2281028.034,1243958.047,1946541.885,2288332.24,1683442.401,991569.2121,2654088.828,1535295.8,669300.594,1236811.931,1022040.132,2354957.335,1578847.993,1401277.226,1086135.031,1244009.714,1079282.576,965763.2461,1036105.08,376405.669,484599.9536,546836.7625,1167460.584,972028.2096,224822.2709,241368.7165,631257.8789,833871.5189,761482.9181
Q9UMS4,26658.89243,37725.98518,10683.00558,10054.8597,13437.21996,21725.20228,26266.46006,44601.21942,24092.7769,82664.30312,36044.79827,33684.67797,35723.62112,56301.83974,15714.38426,44948.51611,42524.9111,20828.72713,36728.56082,113010.4835,82393.50536,322799.1555,220493.9644,98110.93714,35978.65115,116845.4583,61581.61177,36956.86948,180647.4001,252398.3323,86949.92481,76121.51025,98982.28452,43078.86041,34921.08084,47546.16211,51819.78399,61707.5576
Q8N5Z0,177237.8577,58649.21663,38799.81404,10508.15718,56324.68171,191946.7806,40936.63099,90789.42777,94566.13123,218011.9261,53912.60171,104663.5409,117241.2682,51830.2541,29311.24661,125417.2979,118549.9598,33075.7652,56832.42781,12636.65105,40659.494,24039.95398,43355.82599,35625.95918,5191.027451,9776.857577,11718.57107,8235.904966,6918.831605,22389.64247,7387.506382,12853.78345,41517.64739,4856.677186,7463.828228,11560.2275,17498.36475,16218.8893
P11047,25356.07566,51271.90983,15371.81569,18529.05191,13867.70027,16688.09295,24027.16658,35161.13239,18707.76571,100179.7413,32868.60834,44931.07939,38527.32857,54978.11398,19715.43122,49785.5983,50263.25834,27169.49515,36287.72608,185179.0858,168631.5222,594431.312,251298.8817,187485.5947,112864.4692,98136.4861,71982.94628,40549.10224,280852.2703,101651.6272,89427.74258,272437.5946,82944.0752,27473.75945,48042.63232,143662.1178,85867.83192,213576.5129
Q16851,14328115.9,10835017.22,4605762.784,3668961.73,6738982.899,12316275.05,5403944.057,15158669.1,12656686.73,18753316.97,7908051.246,9934033.878,7676422.331,7276057.825,4595336.683,17748020.7,11371898.43,4437270.553,6031694.892,2018538.837,5573570.719,6970003.458,7823057.571,2001663.762,1183321.735,2241532.738,9226203.034,2376565.489,1634510.647,1388479.434,1519480.199,1792981.567,6537596.839,1370278.019,720857.7952,2844202.856,5665003.791,1923394.763
Q9Y3I0,63408.24312,95802.16037,28401.89131,21471.11175,35411.15941,44235.54911,65501.71988,102858.0529,56397.80743,262977.8347,83373.41125,108453.601,97289.93691,150496.2827,49322.15269,128318.9025,118896.8072,50462.48526,67403.46705,185118.1293,179666.6377,344042.8744,356819.9874,92290.26128,85893.08588,158767.5357,112998.6169,125282.8497,130758.4486,161244.953,87914.23244,141431.3817,186895.782,75999.21581,66625.9063,84906.01855,104004.1499,135285.0584
Q96N76,72111.84959,398663.1432,162659.4023,85239.89458,162156.3847,141530.5328,121090.5135,206766.2606,201371.9667,451372.0719,128577.7669,437095.9667,323127.8578,47194.6255,149305.5446,546733.6323,401775.269,127792.4224,151076.408,37213.97708,97492.65498,104824.6069,72036.67464,18197.31384,11585.84709,11753.47253,39081.85691,24784.36017,16479.16511,87757.42117,8477.323746,26247.98259,123880.4086,7585.798234,6525.542808,29266.11188,27262.74935,11513.10353
Q9UBE0,11524.56772,11436.92101,2461.500345,3043.127716,3659.76972,8837.252666,11361.02304,11701.29603,5813.71477,19807.12136,13110.239,8654.687267,7023.149281,13153.02384,4499.08484,16504.83147,9297.836662,4233.559707,6626.759254,37308.98781,20024.27083,90786.91199,48736.67845,21015.9641,12306.48778,31377.16033,15414.96218,17233.68604,69881.18724,53176.50989,22416.76611,22659.93425,22141.80155,12428.57655,21154.53258,22901.26241,16121.46512,28881.08317
P08238,1093837.315,868645.3146,445610.55,377772.9571,669047.587,763393.7706,652276.4167,995755.2045,498538.3604,2002789.834,704361.4049,768544.0087,914027.7691,1148317.105,361358.7669,969005.365,728533.5212,477294.9315,824939.072,2444588.228,2024229.947,7703535.516,3758591.986,1654479.242,1141455.552,2986144.176,1320645.367,1107173.461,3012544.987,3269252.114,2100938.768,2336969.075,1439839.346,1503261.591,884330.0767,854658.021,1209343.485,1786539.22
P78527,55397.31282,148033.1971,71363.93652,36695.13536,46205.49269,45266.37689,110340.6087,59632.38551,44324.80185,205073.8491,83526.85295,89104.99387,105266.0437,159231.3855,43604.43062,105635.3711,87802.21143,59933.59185,108897.8503,402602.4567,413272.6412,1764874.569,275273.7716,137387.8471,129305.4746,431205.6242,144399.5212,197302.2962,399465.5745,282377.4179,269038.4047,156662.5575,253982.7908,294967.059,112827.4323,128079.4252,159172.4779,252031.4415
Q92552,2447.690735,953.8102473,1133.873936,579.2279696,746.2261986,970.332691,774.1193153,1490.846753,4607.78885,7131.739085,2850.419953,7489.743233,4775.61219,2135.303505,768.4583232,7321.076534,1936.733934,2669.744033,1788.511958,4961.465967,9690.054641,30741.75166,11854.96179,7299.203891,11263.36346,29955.08687,11012.54277,15266.87141,9994.351605,9490.275802,22536.43805,15818.30115,13579.04615,8017.84567,4094.298724,2941.347648,5265.197574,9830.539714
P23378,615295.2346,2570405.434,837334.8226,119678.3593,586703.3274,691829.4842,446286.6753,774794.2636,910386.9695,5193872.447,1499533.24,879149.3518,809270.7169,849515.4289,1609404.248,505961.1263,984129.6009,447543.7316,1046147.687,310276.4955,419900.0005,1182868.762,456551.2603,328003.0665,356182.2827,118191.0705,283405.876,325886.996,380474.4473,894166.9825,200109.3568,275589.2068,730041.9578,156284.0454,38943.68359,120687.9783,576817.9072,124265.131
Q92542,1673.683153,7684.384488,1593.332469,1636.564468,174.754398,251.5561614,2766.568996,652.6211818,672.8887359,6494.270601,3836.599039,2368.833516,2324.188475,5043.789216,2230.764502,921.9488369,3089.999773,2267.842053,2982.230369,12228.61932,11632.82561,94933.30655,34730.09886,5928.563941,8345.777777,21056.16135,5629.964992,10269.80602,25387.90855,19460.70745,7168.709291,18134.71901,5446.853631,14896.05218,2894.455921,8502.02257,5441.883882,18736.84205
Q6PI48,10330.86834,14018.485,5721.166979,2950.708124,4637.645793,5904.742063,8764.827115,9371.572251,6972.414736,31153.20796,7808.802573,13982.89588,16043.07954,21979.05645,6068.074972,15418.99236,12119.51554,6035.431412,10101.757,35477.57283,27442.16411,84664.40614,42086.84871,15776.66088,17039.46583,45850.26887,28024.06646,19095.76086,34604.30174,72658.39142,31706.72425,21071.38332,28456.93067,10766.76102,15684.86672,14059.74401,12053.62295,31761.6263
Q96C11,9813.714248,23116.79679,5654.927806,3046.63336,8033.030064,9416.900239,13114.57345,6617.204762,5756.703047,19224.4841,6957.013204,11241.18763,16094.26493,4008.080787,6762.054102,6085.553543,10141.25489,5616.63453,15689.95014,1357.627757,3984.842106,2803.852616,3634.21885,2762.410735,2406.338498,824.2696929,4419.063428,1546.81423,236.4933548,1127.52309,595.5358925,262.1380875,1359.111399,1175.699367,1167.416214,551.2973902,4156.519518,2887.407772
Q53FZ2,77176.14061,66752.94478,33537.43495,11917.76739,64775.1808,34850.71426,63276.64124,42775.78038,36978.40837,17362.2344,26683.57357,60365.70164,59382.36595,71406.45343,21787.41514,124790.3004,55601.08004,32724.50666,41303.87955,5572.39389,60706.62097,4036.554297,12468.85711,7333.825463,19203.49348,7153.289056,3588.478435,2567.976676,2108.157036,3878.462813,11981.82534,14140.29858,16627.3044,1148.85477,13609.93746,1636.960243,7373.027843,27296.44434
P16930,2334467.227,2084109.695,825078.7965,436751.4457,1065701.788,1784078.251,1237170.216,2525137.13,1789358.598,4049886.463,1247235,1985083.03,1610236.118,2055963.356,732148.4744,3180626.171,2074238.976,1017221.258,1432148.787,538022.8821,1219274.498,966320.7613,2376646.919,816181.8676,266314.4906,374909.9662,1761173.722,674687.2444,243309.5855,650655.1716,300968.7218,744880.0333,1521968.17,476634.6518,187767.0205,354827.4846,1044888.33,195718.6018
Q8NFF5,5165.885037,9131.771372,3013.612801,1471.811317,942.9876337,3342.430875,4770.172468,3459.55669,3617.929238,6683.329815,4792.459393,4922.972048,5643.490915,6713.292021,3468.564539,3372.200361,8377.387917,3461.370852,4176.163097,14781.40069,20175.62378,71200.85343,14155.36257,7669.020755,12565.40068,54404.36382,18311.0597,13884.44421,9473.187413,30898.44978,6888.897999,12384.00894,9218.957913,10154.03483,5489.340876,8190.732732,9899.661432,9902.890265
P55795,135054.2508,93471.75946,26480.71573,25102.25078,43582.51045,92637.24102,94791.27268,145237.295,71803.93509,132549.169,54896.90136,64377.05948,88326.55196,129625.1123,30749.82468,76336.02424,55800.29953,28738.1266,76674.86064,264912.6547,330606.7863,171672.5458,548420.3528,115945.6102,88374.22376,284649.7626,144333.8209,164659.5455,111564.9762,239323.5295,140672.1925,235142.4487,162981.9122,75883.13769,77482.64478,89990.11213,67819.12127,226142.2252
Q08J23,2002.962958,6594.296453,1429.775757,1675.570319,2135.209655,3078.768092,2658.181595,5427.713688,4105.439454,14162.99261,6105.77266,6796.942486,6325.933725,7439.769631,2704.881326,11157.8204,7347.714978,4302.195335,4504.90223,15741.48545,22988.34191,57120.85062,29633.08585,8564.606544,7770.654901,24234.20639,8170.597189,13854.00595,32569.77936,38144.25151,6990.021004,19822.51654,10880.20206,12358.50795,3225.775835,11828.44211,11697.99121,11383.42103
P78344,8433.110361,13706.04662,6474.307816,6535.422456,6109.274479,7625.357489,16711.9866,12268.29356,3367.423059,19303.71083,11601.27044,11163.18571,16949.45008,16218.48791,5788.625403,8884.172371,5083.16328,1808.017168,22283.32575,35064.91711,26672.84263,116553.9039,189552.3255,17794.44106,10116.856,35625.59443,20861.63679,10425.54188,38021.95266,39320.76676,29158.60133,25725.11445,23182.11825,16716.89571,19438.19925,24537.23644,12776.8913,47292.95228
P43304,8601.339694,12069.20106,3089.139515,5418.606797,2925.032137,3196.086075,7082.658539,5198.630764,3587.480756,18442.91257,7719.66646,8223.023249,12296.02171,15147.24193,4586.410202,12260.9634,11493.73053,7852.090089,11996.49689,51156.6049,63095.40285,168268.7523,134365.2636,51769.66977,47519.92452,18924.9782,19471.99812,11822.55596,117500.0281,17976.16518,24567.64775,92588.98748,10128.77469,15622.17809,10936.23813,50184.78831,31064.87008,33431.23568
O75643,14525.56688,47026.15581,20062.93253,12438.94341,9842.124825,11406.19191,29686.41499,17488.94642,9696.174757,70812.56672,34518.28569,35588.55172,32039.09094,48520.01879,14345.54354,22245.76819,34290.76075,20315.36822,31357.99384,97487.33867,64498.84944,433182.1771,143966.9905,47013.05127,37191.63685,85506.64571,43136.10842,46884.80661,80467.65303,159150.0425,42990.64212,52869.18189,54385.91633,40648.35603,19989.90748,48085.01645,46756.53168,50187.64525
Q12905,353833.5621,258072.4381,116424.8876,71852.07839,115509.4394,212300.1389,156461.4342,280281.4157,148020.5892,426642.8551,168544.0293,174787.4525,202519.9349,307888.0447,104244.0213,196654.4845,205409.5759,99958.84527,147836.6364,741260.5933,514565.7902,2045817.829,1037780.058,200337.7252,208119.1498,456224.4555,265688.0079,285743.9987,448360.8867,537279.0644,363807.0341,373915.0885,453884.7452,230109.2638,114026.0916,246963.9293,285420.8706,305580.6241
Q12906,67051.05181,58036.27498,19767.47781,19673.40204,30320.26821,47244.34406,43274.5091,73333.1133,29903.04719,89286.95738,43650.50998,32799.66995,55459.62336,85377.05811,21533.01362,62125.80085,44637.34578,27318.52926,48258.91332,304564.6868,146172.0805,469410.0744,280752.9832,67369.72033,60886.9327,139592.8969,72729.37354,72894.33198,148680.4957,115852.3317,102202.4692,112502.8489,107803.5047,95404.80963,27391.2511,102604.7006,109640.1241,111400.614
Q9NQR4,474897.0287,513089.0984,279612.0772,88074.2313,410668.0222,423925.0209,218950.1904,580852.416,501387.7238,967867.618,281349.3033,562378.4672,443803.5352,424934.6152,201707.4795,758797.8309,484733.7597,212987.1442,359341.0912,178127.149,336857.0503,405811.9637,418808.4958,408889.9658,193623.6439,144117.0238,456697.7816,177508.513,147746.7183,209344.5899,85378.80841,96010.95532,355455.5338,59496.57347,25502.8186,102399.1765,157955.8635,87225.51734
P12004,29032.32819,33789.92801,14199.92658,5735.696612,14117.77016,21728.28083,32266.96018,33204.17993,27332.98579,100568.1919,23918.95534,40158.21678,21370.32541,38401.00754,9581.587646,29403.61934,29283.8845,10758.73946,9116.999596,56208.93615,76048.7024,418749.0372,413363.6162,62786.16812,25029.0517,210347.3496,41588.20587,62154.90673,325015.1162,142765.5771,85523.00135,81415.3528,85363.81406,43441.35087,37642.20051,33276.26496,26938.9681,41479.29626
P54578,52578.63927,74675.61053,47939.1824,29486.59615,41958.97173,40565.18947,42095.30353,63539.42406,32876.23345,127285.8396,54586.59438,57511.43312,62350.59556,81236.37186,35678.72261,77171.14227,75251.81897,34789.2492,62501.86157,169271.8777,132194.6003,490948.9994,253464.5025,76608.46546,76215.72016,138378.5783,90140.65756,60780.58539,109407.399,266259.9154,92950.80374,140145.9308,96819.22727,68328.53527,44400.05312,92347.96035,69151.18808,160911.9895
P63167,1897.932693,775.3765335,690.2740734,1170.153856,597.7125347,588.6793974,923.9207742,732.6646128,740.6580982,6229.059383,1425.272532,992.0923095,1038.167913,778.0675421,315.7211734,2362.738794,3123.79271,1939.717691,949.1994742,9964.873993,4352.892907,23515.26691,6876.283062,2252.635513,3335.514272,3056.305108,2200.684188,2369.150082,9301.862035,2270.445282,2031.819878,4880.809975,3321.34092,1736.433901,1263.257268,5064.209934,3499.95097,2907.51374
Q16629,19094.96279,37333.20025,11894.54928,13419.71671,7193.261999,12920.26494,26847.33544,9723.356156,6237.27228,52370.59916,24165.5145,18588.95469,19767.13882,41628.87397,12617.31056,8806.850917,14451.59767,18571.21297,39758.32787,142182.2576,107976.4514,484456.9066,158344.5413,44669.86087,41137.69741,86887.08509,55329.14656,72472.6489,98494.44569,93622.05046,35389.65863,23617.33943,50900.06294,52049.32213,25433.15601,53448.29962,53046.82575,77842.72083
P53999,62226.67889,72902.35237,38661.34759,22097.33654,21529.02139,32752.50421,55637.11937,47621.14006,37898.07907,224191.7985,67552.95124,83513.3546,61633.07375,69614.97037,31647.39749,73474.69617,79008.6604,57591.9559,40395.16946,168759.9684,660845.2839,1989883.815,648120.5385,199783.0519,88678.06735,277515.1729,208146.3118,324393.8107,197188.1152,166091.9384,84612.97638,139877.8563,154237.2522,108723.4652,46461.65396,54164.51899,150109.3773,61677.38294
P28330,30254.36635,8215.254165,5048.152971,861.2561424,12009.71294,3969.029866,13571.50551,10617.93745,2987.464645,40071.22869,1447.515439,6538.929113,6154.426094,24570.92561,13146.10647,5184.4218,6052.617321,5364.927774,34132.19643,2452.552929,3858.105582,2990.749793,1539.286783,5109.661944,1210.934435,7014.770991,5554.270553,2428.350568,2471.222182,2378.429409,834.104385,2195.964016,5267.547361,1151.095698,198.4500469,1189.857614,4352.167289,4257.910842
Q00839,838306.4648,848885.6806,363644.5359,259613.3133,442089.1879,614136.3514,685386.1439,979974.1981,482798.5316,1566989.57,691641.4814,684991.0964,798006.8062,1202480.534,371523.2965,874656.7738,665393.6184,406043.6709,701492.6177,2045383.966,1723948.52,5400647.073,4712751.864,823735.2144,772596.5233,1940044.97,813294.0144,713518.006,1934799.483,2720220.875,1157458.012,1500275.675,1482584.239,949831.195,738839.8868,994597.3743,970374.5382,934646.585
P11277,576433.1418,392241.1222,59805.51179,25437.2016,130810.3639,367438.3566,139708.4708,782869.9778,526252.2095,618741.5717,165658.5651,253196.0686,303239.0955,449026.5881,245021.1417,272780.8384,356574.6578,73331.7008,155000.8284,28276.85507,131512.6191,86599.59114,100562.8878,36668.47949,11478.19514,35033.27768,304406.1822,125207.0864,15330.85472,76932.728,152613.9557,61000.87408,157004.4205,86098.55466,16901.77886,57973.22583,47881.293,36283.91589
